country_name,country_code,year,value
FortunaKoeln,BRA,71/72,0
HamburgerSV,VGB,71/72,485
Hannover96,BRN,71/72,398
HansaRostock,BGR,71/72,0
HerthaBSCBerlin,BFA,71/72,290
KarlsruherSC,BDI,71/72,210
KickersOffenbach,CPV,71/72,91
MeidericherSV,KHM,71/72,176
MSVDuisburg,CMR,71/72,256
Preu§enMuenster,CAN,71/72,34
RBLeipzig,CYM,71/72,0
Rot-Wei§Essen,CAF,71/72,124
Rot-Wei§Oberhausen,TCD,71/72,137
SCFreiburg,CHI,71/72,0
SCPaderborn07,CHL,71/72,31
Schalke04,CHN,71/72,416
SpVggGreutherFuerth,COL,71/72,0
SpVggUnterhaching,COM,71/72,0
SSVUlm,COD,71/72,0
StuttgarterKickers,COG,71/72,0
SVDarmstadt98,CRI,71/72,0
TasmaniaBerlin,CIV,71/72,15
TennisBorussiaBerlin,HRV,71/72,0
VfBLeipzig,CUB,71/72,0
VfBStuttgart,CUW,71/72,469
VfLBochum,CYP,71/72,59
VfLWolfsburg,CZE,71/72,0
WaldhofMannheim,DNK,71/72,0
Wattenscheid09,DJI,71/72,0
WerderBremen,DMA,71/72,501
1.FCKaiserslautern,AFG,72/73,473
1.FCKoeln,ALB,72/73,640
1.FCNuernberg,DZA,72/73,302
1.FCSaarbruecken,ASM,72/73,44
1.FSVMainz05,AND,72/73,0
1860Muenchen,AGO,72/73,416
1899Hoffenheim,ATG,72/73,0
AlemanniaAachen,ARG,72/73,140
ArminiaBielefeld,ARM,72/73,34
Bayer04Leverkusen,ABW,72/73,0
BayerUerdingen,AUS,72/73,0
BayernMuenchen,AUT,72/73,618
Blau-Wei§90Berlin,AZE,72/73,0
BorussiaDortmund,BHS,72/73,537
BorussiaMoenchengladbach,BHR,72/73,577
BorussiaNeunkirchen,BGD,72/73,109
Darmstadt98,BRB,72/73,0
DynamoDresden,BLR,72/73,0
EintrachtBraunschweig,BEL,72/73,427
EintrachtFrankfurt,BLZ,72/73,571
EnergieCottbus,BEN,72/73,0
FCAugsburg,BMU,72/73,0
FCHomburg,BTN,72/73,0
FCIngolstadt04,BOL,72/73,0
FCSt.Pauli,BIH,72/73,0
FortunaDuesseldorf,BWA,72/73,146
FortunaKoeln,BRA,72/73,0
HamburgerSV,VGB,72/73,538
Hannover96,BRN,72/73,447
HansaRostock,BGR,72/73,0
HerthaBSCBerlin,BFA,72/73,343
KarlsruherSC,BDI,72/73,210
KickersOffenbach,CPV,72/73,152
MeidericherSV,KHM,72/73,176
MSVDuisburg,CMR,72/73,309
Preu§enMuenster,CAN,72/73,34
RBLeipzig,CYM,72/73,0
Rot-Wei§Essen,CAF,72/73,124
Rot-Wei§Oberhausen,TCD,72/73,182
SCFreiburg,CHI,72/73,0
SCPaderborn07,CHL,72/73,31
Schalke04,CHN,72/73,462
SpVggGreutherFuerth,COL,72/73,0
SpVggUnterhaching,COM,72/73,0
SSVUlm,COD,72/73,0
StuttgarterKickers,COG,72/73,0
SVDarmstadt98,CRI,72/73,0
TasmaniaBerlin,CIV,72/73,15
TennisBorussiaBerlin,HRV,72/73,0
VfBLeipzig,CUB,72/73,0
VfBStuttgart,CUW,72/73,540
VfLBochum,CYP,72/73,109
VfLWolfsburg,CZE,72/73,0
WaldhofMannheim,DNK,72/73,0
Wattenscheid09,DJI,72/73,0
WerderBremen,DMA,72/73,551
1.FCKaiserslautern,AFG,73/74,553
1.FCKoeln,ALB,73/74,709
1.FCNuernberg,DZA,73/74,302
1.FCSaarbruecken,ASM,73/74,44
1.FSVMainz05,AND,73/74,0
1860Muenchen,AGO,73/74,416
1899Hoffenheim,ATG,73/74,0
AlemanniaAachen,ARG,73/74,140
ArminiaBielefeld,ARM,73/74,34
Bayer04Leverkusen,ABW,73/74,0
BayerUerdingen,AUS,73/74,0
BayernMuenchen,AUT,73/74,713
Blau-Wei§90Berlin,AZE,73/74,0
BorussiaDortmund,BHS,73/74,537
BorussiaMoenchengladbach,BHR,73/74,670
BorussiaNeunkirchen,BGD,73/74,109
Darmstadt98,BRB,73/74,0
DynamoDresden,BLR,73/74,0
EintrachtBraunschweig,BEL,73/74,427
EintrachtFrankfurt,BLZ,73/74,634
EnergieCottbus,BEN,73/74,0
FCAugsburg,BMU,73/74,0
FCHomburg,BTN,73/74,0
FCIngolstadt04,BOL,73/74,0
FCSt.Pauli,BIH,73/74,0
FortunaDuesseldorf,BWA,73/74,207
FortunaKoeln,BRA,73/74,46
HamburgerSV,VGB,73/74,591
Hannover96,BRN,73/74,497
HansaRostock,BGR,73/74,0
HerthaBSCBerlin,BFA,73/74,399
KarlsruherSC,BDI,73/74,210
KickersOffenbach,CPV,73/74,208
MeidericherSV,KHM,73/74,176
MSVDuisburg,CMR,73/74,351
Preu§enMuenster,CAN,73/74,34
RBLeipzig,CYM,73/74,0
Rot-Wei§Essen,CAF,73/74,180
Rot-Wei§Oberhausen,TCD,73/74,182
SCFreiburg,CHI,73/74,0
SCPaderborn07,CHL,73/74,31
Schalke04,CHN,73/74,534
SpVggGreutherFuerth,COL,73/74,0
SpVggUnterhaching,COM,73/74,0
SSVUlm,COD,73/74,0
StuttgarterKickers,COG,73/74,0
SVDarmstadt98,CRI,73/74,0
TasmaniaBerlin,CIV,73/74,15
TennisBorussiaBerlin,HRV,73/74,0
VfBLeipzig,CUB,73/74,0
VfBStuttgart,CUW,73/74,598
VfLBochum,CYP,73/74,154
VfLWolfsburg,CZE,73/74,0
WaldhofMannheim,DNK,73/74,0
Wattenscheid09,DJI,73/74,0
WerderBremen,DMA,73/74,599
1.FCKaiserslautern,AFG,74/75,609
1.FCKoeln,ALB,74/75,786
1.FCNuernberg,DZA,74/75,302
1.FCSaarbruecken,ASM,74/75,44
1.FSVMainz05,AND,74/75,0
1860Muenchen,AGO,74/75,416
1899Hoffenheim,ATG,74/75,0
AlemanniaAachen,ARG,74/75,140
ArminiaBielefeld,ARM,74/75,34
Bayer04Leverkusen,ABW,74/75,0
BayerUerdingen,AUS,74/75,0
BayernMuenchen,AUT,74/75,770
Blau-Wei§90Berlin,AZE,74/75,0
BorussiaDortmund,BHS,74/75,537
BorussiaMoenchengladbach,BHR,74/75,756
BorussiaNeunkirchen,BGD,74/75,109
Darmstadt98,BRB,74/75,0
DynamoDresden,BLR,74/75,0
EintrachtBraunschweig,BEL,74/75,479
EintrachtFrankfurt,BLZ,74/75,723
EnergieCottbus,BEN,74/75,0
FCAugsburg,BMU,74/75,0
FCHomburg,BTN,74/75,0
FCIngolstadt04,BOL,74/75,0
FCSt.Pauli,BIH,74/75,0
FortunaDuesseldorf,BWA,74/75,273
FortunaKoeln,BRA,74/75,46
HamburgerSV,VGB,74/75,646
Hannover96,BRN,74/75,545
HansaRostock,BGR,74/75,0
HerthaBSCBerlin,BFA,74/75,460
KarlsruherSC,BDI,74/75,210
KickersOffenbach,CPV,74/75,280
MeidericherSV,KHM,74/75,176
MSVDuisburg,CMR,74/75,410
Preu§enMuenster,CAN,74/75,34
RBLeipzig,CYM,74/75,0
Rot-Wei§Essen,CAF,74/75,236
Rot-Wei§Oberhausen,TCD,74/75,182
SCFreiburg,CHI,74/75,0
SCPaderborn07,CHL,74/75,31
Schalke04,CHN,74/75,586
SpVggGreutherFuerth,COL,74/75,0
SpVggUnterhaching,COM,74/75,0
SSVUlm,COD,74/75,0
StuttgarterKickers,COG,74/75,0
SVDarmstadt98,CRI,74/75,0
TasmaniaBerlin,CIV,74/75,15
TennisBorussiaBerlin,HRV,74/75,38
VfBLeipzig,CUB,74/75,0
VfBStuttgart,CUW,74/75,648
VfLBochum,CYP,74/75,207
VfLWolfsburg,CZE,74/75,0
WaldhofMannheim,DNK,74/75,0
Wattenscheid09,DJI,74/75,0
WerderBremen,DMA,74/75,644
1.FCKaiserslautern,AFG,75/76,675
1.FCKoeln,ALB,75/76,848
1.FCNuernberg,DZA,75/76,302
1.FCSaarbruecken,ASM,75/76,44
1.FSVMainz05,AND,75/76,0
1860Muenchen,AGO,75/76,416
1899Hoffenheim,ATG,75/76,0
AlemanniaAachen,ARG,75/76,140
ArminiaBielefeld,ARM,75/76,34
Bayer04Leverkusen,ABW,75/76,0
BayerUerdingen,AUS,75/76,28
BayernMuenchen,AUT,75/76,842
Blau-Wei§90Berlin,AZE,75/76,0
BorussiaDortmund,BHS,75/76,537
BorussiaMoenchengladbach,BHR,75/76,822
BorussiaNeunkirchen,BGD,75/76,109
Darmstadt98,BRB,75/76,0
DynamoDresden,BLR,75/76,0
EintrachtBraunschweig,BEL,75/76,531
EintrachtFrankfurt,BLZ,75/76,802
EnergieCottbus,BEN,75/76,0
FCAugsburg,BMU,75/76,0
FCHomburg,BTN,75/76,0
FCIngolstadt04,BOL,75/76,0
FCSt.Pauli,BIH,75/76,0
FortunaDuesseldorf,BWA,75/76,320
FortunaKoeln,BRA,75/76,46
HamburgerSV,VGB,75/76,705
Hannover96,BRN,75/76,545
HansaRostock,BGR,75/76,0
HerthaBSCBerlin,BFA,75/76,519
KarlsruherSC,BDI,75/76,256
KickersOffenbach,CPV,75/76,320
MeidericherSV,KHM,75/76,176
